x,y,z,f1,n_pix,concentration,R_circ,angle_3d_deg,angle_inplane_deg,dyad_inplane_deg,psoct_x,psoct_y,psoct_z,dyad_x,dyad_y,dyad_z
184,187,34,0.6121285235951291,95,0.9520027405761814,0.9307727932896683,33.61344026225166,9.418260880180593,56.36042570663884,-0.978618677499221,0.060308487733542304,-0.19664274804062595,0.7632119,-0.59383124,0.25470003
170,161,59,0.6723361882678661,65,0.9702137287990018,0.9655052521708369,2.643279035205999,1.5685888969695663,87.84453083641026,-0.9980978225546201,0.02114646268601484,0.057909962248262004,-0.9945551,0.056064326,0.087846056
165,166,65,0.6197350676908734,64,0.9687767183213306,0.9649153301980848,8.383897900680743,5.844717574621994,83.20572757513992,-0.9737485224797776,-0.006080463307126693,0.2275452546954579,-0.941607,-0.1186474,0.3151175
167,151,50,0.8391820491286685,95,0.962232135188979,0.959090016673138,11.82562954681876,9.641583808776357,81.7249195591064,-0.9345923354797102,-0.02711916596947117,0.3546853779051249,-0.9740245,-0.13364656,0.18279757
172,151,53,0.8405105005151914,79,0.9617625273055791,0.9512653965340228,8.387640260224188,7.671152100998247,85.81164745125722,-0.9935429658212674,0.04623178920667667,-0.10360982933018142,-0.9948347,0.09562608,0.034052573
182,183,70,0.6763147056850937,84,0.3053191965945723,0.7821505646403124,40.59426840962995,40.70691541755224,84.4492229083457,-0.5802463509819015,0.14276556535319385,-0.8018305092234711,0.9646986,-0.1379496,0.22433557
171,183,68,0.6154705181142234,60,0.9081500553709548,0.8911544854629602,21.555913418069235,21.425464910071017,89.9148033502161,-0.8682002791376704,0.10209219559781414,-0.4855980425241528,0.9897543,-0.03658884,0.13801344
167,174,68,0.8463453770510889,58,0.9211399857571693,0.9353782805925598,20.608912132905452,19.592713260870784,83.93704871434302,-0.9989660395166092,0.034786826299811315,-0.029269926690840206,-0.9492965,-0.10434496,0.2965608
167,175,66,0.6379873175457917,93,0.8721791924180202,0.8736286477226011,6.549109382289667,5.59983690310849,85.88540095413863,-0.9766166306678012,-0.004026909904202709,0.2149505540809212,-0.9918962,-0.05567414,0.114202686
175,161,64,0.9220501182103856,96,0.961975373097655,0.9578900097033661,16.601445179283818,16.341610047844195,84.23169398393001,-0.8577717075486512,0.10453930301055536,-0.5032884181611363,0.96114624,-0.14255095,0.23638363
167,152,60,0.64847411970025,94,0.9277831048431404,0.8965397028250386,10.369551868742642,0.1438760100085355,78.61613376015893,-0.9599713689386017,-0.014644077454105838,0.27971507255359895,-0.94503444,-0.19400288,0.26319733
168,184,67,0.6860338581120822,94,0.7477590837420163,0.6999189915697738,8.639842690111774,7.9812009812603355,86.09315683652102,-0.9822252825813549,0.00039736261843825726,0.18770545106876152,-0.94603246,-0.06833536,0.3167852
162,159,62,0.8501237162377451,85,0.9363213248957375,0.9232257251790695,16.50281567659328,10.415485402296603,74.54220427576432,-0.7999874514479203,-0.06888231195645456,0.5960497501261074,-0.8692272,-0.27623817,0.41004467
180,176,69,0.9347712011325591,95,0.7734060018148726,0.7883787780864935,10.195592667994458,6.277544556001059,80.74029122782377,-0.9788179248294437,0.06016610501814712,-0.19569238574744535,0.9354363,-0.20628622,0.2870626
168,157,59,0.6925491756197164,88,0.9691230602129033,0.9654021269631985,6.099459245341472,2.570419351637356,84.0822820412389,-0.9892789009245643,0.0071447731920915025,0.1458636637463895,-0.9919093,-0.08559134,0.09375543
177,155,61,0.6299125211467382,95,0.9414153637963599,0.9056577622809389,16.1235921576495,8.821003865969175,73.59538029778085,-0.8264911545661879,0.11117845469970677,-0.551862050366244,0.86077565,-0.33358034,0.3844339
173,195,44,0.7671251673968699,96,0.18809889153358333,0.5645306700241911,71.00971877939071,71.45612515703606,78.93440385097675,-0.3434206749064162,-0.13475844991005684,0.9294635012869846,0.98556024,0.1650132,0.037969127
181,169,67,0.9485135439782897,95,0.08412854093165373,0.7662120232812759,86.74148737590924,86.17312652675957,82.47601424762368,0.4378089397309997,0.12577621043560308,-0.8902267560459396,0.91497743,-0.18120342,0.3605296
168,181,64,0.8079886772319389,94,0.9411809838449021,0.9649334322074119,82.65240210807855,49.93065621703079,9.966265001990372,-0.9633367572625502,-0.01271188206238544,0.26799384351381395,-0.09636033,-0.9918141,0.08378288
169,171,67,0.7883573399433185,95,0.9671474728769636,0.9654261243828628,1.5131386356061038,1.1767069231132767,88.90171058332345,-0.999159838362774,0.025171255478664077,0.03234231439621084,-0.9977309,0.04017041,0.05403141
167,169,64,0.7013130947076942,82,0.890811095907114,0.9458693910050443,6.322801033987935,1.012616271149938,83.06896571544556,-0.9775293446586237,-0.003346901782321027,0.2107728127148782,-0.9767093,-0.11034713,0.18401746
186,186,34,0.6839660718898345,87,0.9539936119555676,0.9492672624877248,30.375510517213595,7.837782299933103,59.669865883739924,-0.9907820788825902,0.0496507457991202,-0.12603838941641618,0.8197817,-0.5410922,0.18755564
185,166,69,0.6245352822108123,92,0.9134733321496562,0.912505193148612,12.78481135176383,6.148697986880672,77.25482879910479,-0.9625536968450821,0.07001232429532968,-0.2618943587338825,0.9567174,-0.25564745,0.13905506
176,178,64,0.8533914543324276,95,0.9779376182442804,0.9850704107293803,76.42001576531396,28.324076593300035,15.922223783434205,-0.9888379080638615,0.0066656932881353475,0.14884609537664928,0.23400326,-0.97201735,0.0206113
171,154,56,0.7716396389820835,73,0.9737388553580321,0.9770636463716597,8.218533025372885,7.807653415891235,86.59552663009666,-0.9924659977919259,0.04764628678095756,-0.11287636857581641,-0.99624467,0.08256444,0.026071042
171,154,59,0.7716200827549871,97,0.9607829578337529,0.9726833276685091,5.137086171051572,4.654142612694669,88.51942055606072,-0.9953690234312522,0.043494103545515514,-0.08572496806816213,0.9999706,0.00030769547,0.0076631834
178,168,65,0.9781599968996616,93,0.6594573734775673,0.4620940572315728,34.82623056563381,34.59544394080115,86.99308974576012,-0.9544322425892677,-0.01765220754032365,0.2979051759788253,0.95219636,-0.09808421,0.2893124
158,181,36,0.6222224511077772,65,0.7664554032739158,0.755669750147643,5.012271503524678,3.6736165706286257,88.91018892426777,-0.1511328598412045,-0.14805468535948044,0.9773631202471905,-0.08645507,-0.09106338,0.99208516
175,170,65,0.9916412437230874,95,0.4860187753836778,0.5060480274340083,8.88156768584232,7.554733273907429,83.97484040168074,-0.9726933486360653,0.06424899045216788,-0.2230240272818947,0.92742705,-0.15398638,0.3408332
182,174,69,0.8478217679321343,70,0.7918268230687491,0.7644067775251259,6.1154911637064915,4.784299094203066,85.41913796635637,-0.993861811851496,0.045788303209830544,-0.10070814382375515,0.9770289,-0.117847845,0.1775567
174,180,67,0.9905609626531178,96,0.7935615069895818,0.846069013753146,6.284240234972608,6.27842106477323,88.40226903466758,-0.930961776371686,0.08365916465077411,-0.3554030319296807,0.9651187,-0.07096921,0.25201038
171,189,67,0.6904439104581523,94,0.7372539054892209,0.820519553677466,1.1262342423367777,0.9306303899603722,88.55955241527512,-0.992835529550758,0.047174320166987214,-0.1097824884872287,0.9940468,-0.057043385,0.09282761
171,166,65,0.8654075577252521,94,0.9641047026577774,0.9668920259706892,8.026599116949821,7.8606401478715595,88.96395200502488,-0.9972165891548105,0.039989924443097506,-0.06292757946625023,-0.99742895,0.0014816183,0.07164739
165,154,55,0.7362973487898787,94,0.9189901708242301,0.9138428903383915,21.665912837074604,8.802301821191291,69.14789613566549,-0.9631020639250878,-0.012849480825352977,0.26882950973759373,-0.9365109,-0.34001443,0.08565939
176,169,62,0.986274724366546,69,0.8580795825622693,0.8083648341620614,68.00104269713259,22.648335665356747,24.857654666500867,-0.9700172291664712,-0.008588694890896226,0.24288435404585668,-0.3142649,0.8942119,0.31878328
178,165,66,0.85109368327353,94,0.8996749580360117,0.897041502854924,11.79802075695701,4.663105237734365,76.89552491511739,-0.9002165415676323,0.09363743966764239,-0.4252554622582761,0.9039802,-0.27456304,0.32777274
161,164,66,0.6273353043201997,96,0.9343903678057973,0.9225634833436371,11.385655652774886,5.590298262317118,77.65627211769241,-0.8210000657588181,-0.06376588269350193,0.5673559766393009,-0.85754883,-0.22745167,0.46138462
160,176,71,0.7820677368060654,54,0.9251951640494918,0.925155884701085,26.665548162376986,25.498822340267186,78.44463136340639,-0.7127733940277841,-0.08712276768570172,0.6959624358518904,-0.93079555,-0.20047584,0.30566174
162,182,69,0.6008538010858849,67,0.9526691863843282,0.9578262102715766,10.08461138141753,5.33205147742037,78.83841695483028,-0.7936716490566503,-0.07035613259348748,0.6042642866248054,-0.8352633,-0.21120685,0.507668
184,161,67,0.6312162141742559,76,0.9337954308871785,0.9232569105993813,9.21868511419182,2.7180326431282698,80.2894363462769,-0.9902998529728753,0.050187099595710556,-0.12956641631252977,0.96509445,-0.20549472,0.16237232
158,168,68,0.7531466352533118,57,0.9427151324673693,0.9395286063802486,8.409447379910286,7.1831473372913655,84.3919328688112,-0.9468142692848882,-0.021498759769566004,0.3210615872490724,-0.9770527,-0.08805767,0.19394308
181,184,70,0.9455196308704322,71,0.8330453110147589,0.8173683341219312,28.745624919518896,28.099376203294323,84.6317612080093,-0.9691018180129466,-0.009179469262409451,0.24649016951607264,0.9641226,-0.13506716,0.22852689
168,180,64,0.9773806404534089,95,0.032601079390869425,0.9538242112864804,80.6433762860263,50.21234953549265,7.566285961585928,0.22141632478491205,-0.15699583232853745,0.9624588924989016,-0.10443511,-0.9940548,0.030796329
178,157,62,0.6597248804959723,78,0.9121683819219357,0.9703023428972569,14.875945717430767,0.3521102427428691,72.64720475452087,-0.8728411175169856,0.10095966993436861,-0.47744688565163296,0.82462955,-0.35287145,0.44211742
171,155,55,0.944292690244624,96,0.9476235821606133,0.9637765589995131,3.370235586057565,0.8354644431799205,86.52786796457278,-0.9994409273038942,0.02719267723472004,0.019452278394590884,-0.9958323,0.08283224,0.038169842
174,149,55,0.7678172598898051,52,0.9231063891972779,0.9238972329958828,21.95907755538078,18.489406797593873,75.5911722453983,-0.9044144782388589,0.09240167573284332,-0.41652896882893414,0.9557932,-0.28020453,0.089133285
171,152,50,0.7304471782805677,96,0.9545178229816561,0.9541570323445424,2.9747049413508084,2.963043021970585,89.71090061663081,-0.9974102904529216,0.01935179818086341,0.06926918799715892,-0.9926842,0.010805974,0.120255575
177,152,53,0.6573466194600858,76,0.9322898410082988,0.9567613043647201,25.265018481558837,0.6862142391613705,63.96763188183429,-0.9935784437167635,0.04618305239169925,-0.10329086045318707,0.8832882,-0.46611935,0.05034683
159,167,67,0.7246206002050968,62,0.8331325237252776,0.8059539007107385,14.197342515862582,13.374701315596003,82.73477876192383,-0.8259771986040056,-0.0625021883322775,0.5602277606830597,-0.92929554,-0.12944037,0.34591198
169,152,51,0.7364407007405744,71,0.9776605887001222,0.9751652364166518,6.743131529497291,6.379364647627038,86.96695073294559,-0.9702574769818723,-0.008432135128621147,0.24192835191011458,-0.9907934,-0.037980355,0.1299458
154,178,36,0.606721669362591,95,0.7371569837501479,0.8210517282256291,31.31725610597644,13.181870437709668,65.44977803976546,-0.4340403324124666,-0.1261694145528611,0.8920147244696489,-0.18655673,0.35292313,0.9168652
174,152,54,0.8391884780487574,56,0.948521702774847,0.9532376383482711,15.483439380876336,10.893550101234709,77.61219667952093,-0.974519803721341,0.0630896160203139,-0.21524602785029193,0.9705874,-0.24042642,0.012463079
169,152,55,0.7886490927214844,55,0.9622590432023301,0.9577993631243806,7.7548480344268516,6.146144612069493,84.534854830005,-0.9759938884790809,-0.0044831851726792335,0.21775176394736967,-0.9912887,-0.078613244,0.10567222
171,161,63,0.9009026732076161,64,0.9186544870568595,0.9523477187762976,11.523340315014519,11.500650344046855,89.88658277409077,-0.991830341055405,0.04842927558758227,-0.11801347307820811,-0.99650997,0.020896502,0.08081634
173,167,64,0.6456756308761554,55,0.9228368625524754,0.9176761673008595,17.672706682376628,17.24154329497351,84.12901929522586,-0.9412730853074556,0.07970786829042718,-0.32810308533809873,0.9911402,-0.12959652,0.029084634
